"","Name","Nonadhering","Adhering","Pvalue"
"1","Age in Years [mean (SD)]","62 (13)","61 (9.4)","0.777"
"2","Age Group %","----","----","0.04"
"3","~~~<50","12.35 %","6.16 %","--"
"4","~~~>=50","87.65 %","93.84 %","--"
"5","Sex of the respondent %","----","----","0.527"
"6","~~~Male","53.68 %","50.79 %","--"
"7","~~~Female","46.32 %","49.21 %","--"
"8","5 quantiles of wealthscore %","----","----","0.009"
"9","~~~1","10.78 %","3.56 %","--"
"10","~~~2","14.11 %","12.96 %","--"
"11","~~~3","18.76 %","14.1 %","--"
"12","~~~4","23.57 %","21.52 %","--"
"13","~~~5","32.79 %","47.86 %","--"
"14","Place of residence %","----","----","0.114"
"15","~~~Urban","37.16 %","46.39 %","--"
"16","~~~Rural","62.84 %","53.61 %","--"
"17","Region %","----","----","<0.001"
"18","~~~ASSAM","9.85 %","5.15 %","--"
"19","~~~KARNATAKA","7.46 %","24.42 %","--"
"20","~~~MAHARASHTRA","19.81 %","19.7 %","--"
"21","~~~RAJASTHAN","18.61 %","10.73 %","--"
"22","~~~UTTAR PRADESH","19 %","23.47 %","--"
"23","~~~WEST BENGAL","25.28 %","16.53 %","--"
"24","Current Marital Status %","----","----","0.924"
"25","~~~Currently Married","79.4 %","79.08 %","--"
"26","~~~Not Currently Married","20.6 %","20.92 %","--"
"27","Religion %","----","----","0.072"
"28","~~~Hinduism","76.38 %","82 %","--"
"29","~~~Islam","16.54 %","15.6 %","--"
"30","~~~Other / None","7.08 %","2.4 %","--"
"31","Ethnic Group %","----","----","0.003"
"32","~~~Schedule Tribe","2.62 %","4.57 %","--"
"33","~~~Schedule Caste","18.34 %","7.67 %","--"
"34","~~~Others","79.04 %","87.76 %","--"
"35","Ever smoked %","----","----","0.031"
"36","~~~No","61.83 %","73.23 %","--"
"37","~~~Yes","38.17 %","26.77 %","--"
"38","Consumed alcohol last 30 days %","----","----","0.999"
"39","~~~Yes","51.41 %","51.39 %","--"
"40","~~~No","48.59 %","48.61 %","--"
"41","Rate your health %","----","----","0.874"
"42","~~~Poor","65.17 %","65.98 %","--"
"43","~~~Good","34.83 %","34.02 %","--"
"44","Difficulty in cognition with concentrating/remembering things %","----","----","0.001"
"45","~~~Moderate or worse","43.68 %","27.6 %","--"
"46","~~~None/Mild","56.32 %","72.4 %","--"
"47","Difficulty in moving around %","----","----","0.968"
"48","~~~Moderate or worse","37.85 %","37.65 %","--"
"49","~~~None/Mild","62.15 %","62.35 %","--"
"50","Community Support %","----","----","0.067"
"51","~~~Yes","32.8 %","54.18 %","--"
"52","~~~No","67.2 %","45.82 %","--"
"53","Currently working %","----","----","0.567"
"54","~~~Yes","56.4 %","52.68 %","--"
"55","~~~No","43.6 %","47.32 %","--"
"56","Health care provider %","----","----","0.16"
"57","~~~Private","73.44 %","77.97 %","--"
"58","~~~Public","20.84 %","18.04 %","--"
"59","~~~Community","1.46 %","3.44 %","--"
"60","~~~Other","4.26 %","0.56 %","--"
"61","Ever Been to School %","----","----","0.183"
"62","~~~Yes","64.86 %","71.53 %","--"
"63","~~~No","35.14 %","28.47 %","--"
"64","Level of Education %","----","----","0.465"
"65","~~~Less than primary school/don't know","21.38 %","19.83 %","--"
"66","~~~Secondary school and below","44.75 %","37.71 %","--"
"67","~~~Past secondary school","33.87 %","42.46 %","--"
"68","Feeling sad/low/depression %","----","----","<0.001"
"69","~~~None/Mild","62.95 %","80.42 %","--"
"70","~~~Moderate or worse","37.05 %","19.58 %","--"
"71","Worry or anxiety %","----","----","0.002"
"72","~~~None/Mild","49.12 %","66.4 %","--"
"73","~~~Moderate or worse","50.88 %","33.6 %","--"
"74","Cataracts- New Sample (Chronic Conditions) %","----","----","0.488"
"75","~~~No","76 %","72.8 %","--"
"76","~~~Yes","24 %","27.2 %","--"
"77","Money to meed needs %","----","----","0.158"
"78","~~~Completely","6.48 %","12.93 %","--"
"79","~~~Mostly","15.84 %","19.93 %","--"
"80","~~~Moderately","47.95 %","43.8 %","--"
"81","~~~A little","23.26 %","18.86 %","--"
"82","~~~None at all","6.47 %","4.46 %","--"
