"","Name","Nonadhering","Adhering","Pvalue"
"1","Self reported prevalence of stroke [n (%)]","----","----","<0.001"
"2","~~~Yes","128 (9.01 %)","74 (5.22 %)","--"
"3","~~~No","1293 (90.99 %)","1344 (94.78 %)","--"
"4","Angina (Self repoted prevalence of angina) [n (%)]","----","----","0.106"
"5","~~~Yes","152 (10.69 %)","126 (8.89 %)","--"
"6","~~~No","1270 (89.31 %)","1292 (91.11 %)","--"
"7","Diabetes-New Sample (Chronic Conditions) [n (%)]","----","----","0.872"
"8","~~~Yes","390 (27.45 %)","393 (27.72 %)","--"
"9","~~~No","1031 (72.55 %)","1025 (72.28 %)","--"
"10","Self reported prevalence of chronic lung diseases [n (%)]","----","----","<0.001"
"11","~~~Yes","126 (8.89 %)","56 (3.96 %)","--"
"12","~~~No","1292 (91.11 %)","1358 (96.04 %)","--"
"13","Asthama(Self reported prevalence of asthama) [n (%)]","----","----","0.073"
"14","~~~Yes","237 (16.68 %)","202 (14.25 %)","--"
"15","~~~No","1184 (83.32 %)","1216 (85.75 %)","--"
"16","Self reported prevalence of depression [n (%)]","----","----","<0.001"
"17","~~~No","1247 (87.76 %)","1365 (96.26 %)","--"
"18","~~~Yes","174 (12.24 %)","53 (3.74 %)","--"
"19","Self reported prevalence of hypertension [n (%)]","----","----","0.873"
"20","~~~Yes","887 (62.51 %)","881 (62.22 %)","--"
"21","~~~No","532 (37.49 %)","535 (37.78 %)","--"
