"","Name","Nonadhering","Adhering","Pvalue"
"1","Age in Years [mean (SD)]","60 (13)","62 (11)","0.017"
"2","Age Group %","----","----","0.002"
"3","~~~<50","16.91 %","10.08 %","--"
"4","~~~>=50","83.09 %","89.92 %","--"
"5","Sex of the respondent %","----","----","0.576"
"6","~~~Male","39.36 %","41.17 %","--"
"7","~~~Female","60.64 %","58.83 %","--"
"8","5 quantiles of wealthscore %","----","----","0.043"
"9","~~~1","16.42 %","12.33 %","--"
"10","~~~2","15.38 %","13.16 %","--"
"11","~~~3","14.32 %","19.68 %","--"
"12","~~~4","21.65 %","21.03 %","--"
"13","~~~5","32.24 %","33.8 %","--"
"14","Place of residence %","----","----","0.046"
"15","~~~Urban","29.32 %","38.02 %","--"
"16","~~~Rural","70.68 %","61.98 %","--"
"17","Region %","----","----","<0.001"
"18","~~~ASSAM","14.37 %","5.15 %","--"
"19","~~~KARNATAKA","7.72 %","16.35 %","--"
"20","~~~MAHARASHTRA","21.16 %","15.04 %","--"
"21","~~~RAJASTHAN","19.01 %","11.7 %","--"
"22","~~~UTTAR PRADESH","22.54 %","18.72 %","--"
"23","~~~WEST BENGAL","15.2 %","33.04 %","--"
"24","Current Marital Status %","----","----","0.332"
"25","~~~Currently Married","71.41 %","74.54 %","--"
"26","~~~Not Currently Married","28.59 %","25.46 %","--"
"27","Religion %","----","----","0.631"
"28","~~~Hinduism","83.9 %","82.78 %","--"
"29","~~~Islam","11.29 %","13.12 %","--"
"30","~~~Other / None","4.82 %","4.1 %","--"
"31","Ethnic Group %","----","----","0.003"
"32","~~~Schedule Tribe","6.32 %","2.4 %","--"
"33","~~~Schedule Caste","15.11 %","12.52 %","--"
"34","~~~Others","78.57 %","85.08 %","--"
"35","Ever smoked %","----","----","0.233"
"36","~~~No","67.32 %","70.74 %","--"
"37","~~~Yes","32.68 %","29.26 %","--"
"38","Consumed alcohol last 30 days %","----","----","0.239"
"39","~~~Yes","53.28 %","41.8 %","--"
"40","~~~No","46.72 %","58.2 %","--"
"41","Rate your health %","----","----","0.024"
"42","~~~Poor","67.26 %","73.66 %","--"
"43","~~~Good","32.74 %","26.34 %","--"
"44","Difficulty in cognition with concentrating/remembering things %","----","----","0.476"
"45","~~~Moderate or worse","37.17 %","34.63 %","--"
"46","~~~None/Mild","62.83 %","65.37 %","--"
"47","Difficulty in moving around %","----","----","0.575"
"48","~~~Moderate or worse","41.44 %","43.28 %","--"
"49","~~~None/Mild","58.56 %","56.72 %","--"
"50","Community Support %","----","----","0.218"
"51","~~~Yes","40.55 %","50.78 %","--"
"52","~~~No","59.45 %","49.22 %","--"
"53","Currently working %","----","----","0.009"
"54","~~~Yes","57.12 %","45.08 %","--"
"55","~~~No","42.88 %","54.92 %","--"
"56","Health care provider %","----","----","0.694"
"57","~~~Private","66.78 %","69.24 %","--"
"58","~~~Public","25.73 %","22.33 %","--"
"59","~~~Community","4.38 %","5.54 %","--"
"60","~~~Other","3.11 %","2.89 %","--"
"61","Ever Been to School %","----","----","0.011"
"62","~~~Yes","57.56 %","66.35 %","--"
"63","~~~No","42.44 %","33.65 %","--"
"64","Level of Education %","----","----","0.273"
"65","~~~Less than primary school/don't know","21.63 %","23.33 %","--"
"66","~~~Secondary school and below","50.49 %","43.06 %","--"
"67","~~~Past secondary school","27.88 %","33.62 %","--"
"68","Feeling sad/low/depression %","----","----","0.968"
"69","~~~None/Mild","73.03 %","73.15 %","--"
"70","~~~Moderate or worse","26.97 %","26.85 %","--"
"71","Worry or anxiety %","----","----","0.555"
"72","~~~None/Mild","61.35 %","63.27 %","--"
"73","~~~Moderate or worse","38.65 %","36.73 %","--"
"74","Cataracts- New Sample (Chronic Conditions) %","----","----","0.766"
"75","~~~No","76.51 %","75.46 %","--"
"76","~~~Yes","23.49 %","24.54 %","--"
"77","Money to meed needs %","----","----","0.823"
"78","~~~Completely","9.61 %","8 %","--"
"79","~~~Mostly","16.89 %","16.3 %","--"
"80","~~~Moderately","46.04 %","46.94 %","--"
"81","~~~A little","19.98 %","21.69 %","--"
"82","~~~None at all","7.48 %","7.07 %","--"
