"","Name","Nonadhering","Adhering","Pvalue"
"1","Age in Years [mean (SD)]","62 (10)","64 (9.9)","0.447"
"2","Age Group %","----","----","0.398"
"3","~~~<50","8.56 %","5.01 %","--"
"4","~~~>=50","91.44 %","94.99 %","--"
"5","Sex of the respondent %","----","----","0.31"
"6","~~~Male","62.89 %","71.39 %","--"
"7","~~~Female","37.11 %","28.61 %","--"
"8","5 quantiles of wealthscore %","----","----","0.537"
"9","~~~1","25.44 %","19.14 %","--"
"10","~~~2","19.16 %","17.55 %","--"
"11","~~~3","12.26 %","12.16 %","--"
"12","~~~4","24.02 %","18.52 %","--"
"13","~~~5","19.12 %","32.63 %","--"
"14","Place of residence %","----","----","0.061"
"15","~~~Urban","14.2 %","32.5 %","--"
"16","~~~Rural","85.8 %","67.5 %","--"
"17","Region %","----","----","0.005"
"18","~~~ASSAM","6.64 %","2.98 %","--"
"19","~~~KARNATAKA","10.5 %","12.98 %","--"
"20","~~~MAHARASHTRA","6.56 %","15.57 %","--"
"21","~~~RAJASTHAN","26.6 %","24.27 %","--"
"22","~~~UTTAR PRADESH","39.31 %","15.3 %","--"
"23","~~~WEST BENGAL","10.39 %","28.89 %","--"
"24","Current Marital Status %","----","----","0.321"
"25","~~~Currently Married","73.02 %","80.27 %","--"
"26","~~~Not Currently Married","26.98 %","19.73 %","--"
"27","Religion %","----","----","0.685"
"28","~~~Hinduism","78.32 %","84.1 %","--"
"29","~~~Islam","17.45 %","11.78 %","--"
"30","~~~Other / None","4.23 %","4.11 %","--"
"31","Ethnic Group %","----","----","0.289"
"32","~~~Schedule Tribe","5.59 %","13.43 %","--"
"33","~~~Schedule Caste","16.8 %","13.87 %","--"
"34","~~~Others","77.61 %","72.7 %","--"
"35","Ever smoked %","----","----","0.88"
"36","~~~No","50.09 %","48.82 %","--"
"37","~~~Yes","49.91 %","51.18 %","--"
"38","Consumed alcohol last 30 days %","----","----","0.996"
"39","~~~Yes","36.05 %","35.93 %","--"
"40","~~~No","63.95 %","64.07 %","--"
"41","Rate your health %","----","----","0.763"
"42","~~~Poor","76.03 %","73.96 %","--"
"43","~~~Good","23.97 %","26.04 %","--"
"44","Difficulty in cognition with concentrating/remembering things %","----","----","0.253"
"45","~~~Moderate or worse","48.61 %","38.87 %","--"
"46","~~~None/Mild","51.39 %","61.13 %","--"
"47","Difficulty in moving around %","----","----","0.079"
"48","~~~Moderate or worse","54.89 %","38.87 %","--"
"49","~~~None/Mild","45.11 %","61.13 %","--"
"50","Community Support %","----","----","0.315"
"51","~~~Yes","35.33 %","55.5 %","--"
"52","~~~No","64.67 %","44.5 %","--"
"53","Currently working %","----","----","0.443"
"54","~~~Yes","59.19 %","51.15 %","--"
"55","~~~No","40.81 %","48.85 %","--"
"56","Health care provider %","----","----","0.806"
"57","~~~Private","72.38 %","70.6 %","--"
"58","~~~Public","23.24 %","24.66 %","--"
"59","~~~Community","3.11 %","1.44 %","--"
"60","~~~Other","1.27 %","3.31 %","--"
"61","Ever Been to School %","----","----","0.162"
"62","~~~Yes","60.56 %","71.86 %","--"
"63","~~~No","39.44 %","28.14 %","--"
"64","Level of Education %","----","----","0.3"
"65","~~~Less than primary school/don't know","27.14 %","29.05 %","--"
"66","~~~Secondary school and below","36.43 %","46.81 %","--"
"67","~~~Past secondary school","36.44 %","24.14 %","--"
"68","Feeling sad/low/depression %","----","----","0.642"
"69","~~~None/Mild","68.4 %","71.74 %","--"
"70","~~~Moderate or worse","31.6 %","28.26 %","--"
"71","Worry or anxiety %","----","----","0.044"
"72","~~~None/Mild","55.44 %","70.88 %","--"
"73","~~~Moderate or worse","44.56 %","29.12 %","--"
"74","Cataracts- New Sample (Chronic Conditions) %","----","----","0.947"
"75","~~~No","72.22 %","71.77 %","--"
"76","~~~Yes","27.78 %","28.23 %","--"
"77","Money to meed needs %","----","----","0.17"
"78","~~~Completely","6.51 %","12.38 %","--"
"79","~~~Mostly","13.15 %","17.08 %","--"
"80","~~~Moderately","37.72 %","37.68 %","--"
"81","~~~A little","34.43 %","19.05 %","--"
"82","~~~None at all","8.19 %","13.82 %","--"
