"","Name","Nonadhering","Adhering","Pvalue"
"1","Age in Years [mean (SD)]","60 (13)","62 (11)","<0.001"
"2","Age Group [n (%)]","----","----","<0.001"
"3","~~~<50","218 (15.33 %)","119 (8.39 %)","--"
"4","~~~>=50","1204 (84.67 %)","1299 (91.61 %)","--"
"5","Sex of the respondent [n (%)]","----","----","0.165"
"6","~~~Male","637 (44.8 %)","672 (47.39 %)","--"
"7","~~~Female","785 (55.2 %)","746 (52.61 %)","--"
"8","5 quantiles of wealthscore [n (%)]","----","----","<0.001"
"9","~~~1","236 (16.6 %)","174 (12.27 %)","--"
"10","~~~2","263 (18.5 %)","205 (14.46 %)","--"
"11","~~~3","235 (16.53 %)","264 (18.62 %)","--"
"12","~~~4","305 (21.45 %)","308 (21.72 %)","--"
"13","~~~5","383 (26.93 %)","467 (32.93 %)","--"
"14","Number of Chronic Conditions [mean (SD)]","1.5 (0.76)","1.3 (0.53)","<0.001"
"15","Place of residence [n (%)]","----","----","<0.001"
"16","~~~Urban","317 (22.29 %)","461 (32.51 %)","--"
"17","~~~Rural","1105 (77.71 %)","957 (67.49 %)","--"
"18","Region [n (%)]","----","----","<0.001"
"19","~~~ASSAM","274 (19.27 %)","105 (7.4 %)","--"
"20","~~~KARNATAKA","118 (8.3 %)","254 (17.91 %)","--"
"21","~~~MAHARASHTRA","194 (13.64 %)","220 (15.51 %)","--"
"22","~~~RAJASTHAN","395 (27.78 %)","282 (19.89 %)","--"
"23","~~~UTTAR PRADESH","201 (14.14 %)","193 (13.61 %)","--"
"24","~~~WEST BENGAL","240 (16.88 %)","364 (25.67 %)","--"
"25","Current Marital Status [n (%)]","----","----","0.523"
"26","~~~Currently Married","1042 (73.28 %)","1054 (74.33 %)","--"
"27","~~~Not Currently Married","380 (26.72 %)","364 (25.67 %)","--"
"28","Religion [n (%)]","----","----","0.637"
"29","~~~Hinduism","1158 (81.43 %)","1173 (82.72 %)","--"
"30","~~~Islam","195 (13.71 %)","184 (12.98 %)","--"
"31","~~~Other / None","69 (4.85 %)","61 (4.3 %)","--"
"32","Ethnic Group [n (%)]","----","----","<0.001"
"33","~~~Schedule Tribe","103 (7.24 %)","56 (3.95 %)","--"
"34","~~~Schedule Caste","248 (17.44 %)","212 (14.95 %)","--"
"35","~~~Others","1071 (75.32 %)","1150 (81.1 %)","--"
"36","Ever smoked [n (%)]","----","----","0.015"
"37","~~~No","908 (63.85 %)","967 (68.19 %)","--"
"38","~~~Yes","514 (36.15 %)","451 (31.81 %)","--"
"39","Consumed alcohol last 30 days [n (%)]","----","----","0.204"
"40","~~~Yes","116 (56.04 %)","80 (49.38 %)","--"
"41","~~~No","91 (43.96 %)","82 (50.62 %)","--"
"42","Rate your health [n (%)]","----","----","0.095"
"43","~~~Poor","962 (67.7 %)","1001 (70.59 %)","--"
"44","~~~Good","459 (32.3 %)","417 (29.41 %)","--"
"45","Difficulty in cognition with concentrating/remembering things [n (%)]","----","----","0.009"
"46","~~~Moderate or worse","541 (38.05 %)","473 (33.36 %)","--"
"47","~~~None/Mild","881 (61.95 %)","945 (66.64 %)","--"
"48","Difficulty in moving around [n (%)]","----","----","0.668"
"49","~~~Moderate or worse","561 (39.53 %)","571 (40.32 %)","--"
"50","~~~None/Mild","858 (60.47 %)","845 (59.68 %)","--"
"51","Community Support [n (%)]","----","----","0.051"
"52","~~~Yes","84 (34.01 %)","82 (43.16 %)","--"
"53","~~~No","163 (65.99 %)","108 (56.84 %)","--"
"54","Currently working [n (%)]","----","----","<0.001"
"55","~~~Yes","426 (61.38 %)","359 (49.04 %)","--"
"56","~~~No","268 (38.62 %)","373 (50.96 %)","--"
"57","Health care provider [n (%)]","----","----","0.174"
"58","~~~Private","558 (61.59 %)","694 (65.97 %)","--"
"59","~~~Public","281 (31.02 %)","284 (27 %)","--"
"60","~~~Community","37 (4.08 %)","46 (4.37 %)","--"
"61","~~~Other","30 (3.31 %)","28 (2.66 %)","--"
"62","Ever Been to School [n (%)]","----","----","<0.001"
"63","~~~Yes","780 (54.85 %)","887 (62.55 %)","--"
"64","~~~No","642 (45.15 %)","531 (37.45 %)","--"
"65","Level of Education [n (%)]","----","----","0.7"
"66","~~~Less than primary school/don't know","194 (24.87 %)","224 (25.25 %)","--"
"67","~~~Secondary school and below","373 (47.82 %)","407 (45.89 %)","--"
"68","~~~Past secondary school","213 (27.31 %)","256 (28.86 %)","--"
"69","Feeling sad/low/depression [n (%)]","----","----","0.005"
"70","~~~None/Mild","996 (70.04 %)","1060 (74.75 %)","--"
"71","~~~Moderate or worse","426 (29.96 %)","358 (25.25 %)","--"
"72","Self reported prevalence of depression [n (%)]","----","----","<0.001"
"73","~~~No","1247 (87.76 %)","1365 (96.26 %)","--"
"74","~~~Yes","174 (12.24 %)","53 (3.74 %)","--"
"75","Worry or anxiety [n (%)]","----","----","<0.001"
"76","~~~None/Mild","802 (56.4 %)","909 (64.1 %)","--"
"77","~~~Moderate or worse","620 (43.6 %)","509 (35.9 %)","--"
"78","Cataracts- New Sample (Chronic Conditions) [n (%)]","----","----","0.022"
"79","~~~No","1103 (77.62 %)","1047 (73.94 %)","--"
"80","~~~Yes","318 (22.38 %)","369 (26.06 %)","--"
"81","Money to meed needs [n (%)]","----","----","0.343"
"82","~~~Completely","118 (8.31 %)","148 (10.44 %)","--"
"83","~~~Mostly","238 (16.76 %)","224 (15.81 %)","--"
"84","~~~Moderately","656 (46.2 %)","659 (46.51 %)","--"
"85","~~~A little","310 (21.83 %)","290 (20.47 %)","--"
"86","~~~None at all","98 (6.9 %)","96 (6.77 %)","--"
