"","Name","Nonadhering","Adhering","Pvalue"
"1","Age Group %","----","----","<0.001"
"2","~~~<50","16.62 %","10.53 %","--"
"3","~~~>=50","83.38 %","89.47 %","--"
"4","5 quantiles of wealthscore %","----","----","0.008"
"5","~~~1","17.59 %","12.48 %","--"
"6","~~~2","17.54 %","13.92 %","--"
"7","~~~3","15.73 %","18.9 %","--"
"8","~~~4","21.53 %","21.72 %","--"
"9","~~~5","27.61 %","32.99 %","--"
"10","Number of Chronic Conditions [mean (SD)]","1.5 (0.74)","1.2 (0.5)","<0.001"
"11","Place of residence %","----","----","0.006"
"12","~~~Urban","27.02 %","37.1 %","--"
"13","~~~Rural","72.98 %","62.9 %","--"
"14","Region %","----","----","<0.001"
"15","~~~ASSAM","11.71 %","4.1 %","--"
"16","~~~KARNATAKA","9.15 %","17.36 %","--"
"17","~~~MAHARASHTRA","19.21 %","17.72 %","--"
"18","~~~RAJASTHAN","19.85 %","12.04 %","--"
"19","~~~UTTAR PRADESH","21.59 %","21.65 %","--"
"20","~~~WEST BENGAL","18.49 %","27.14 %","--"
"21","Ethnic Group %","----","----","0.002"
"22","~~~Schedule Tribe","6.33 %","4.07 %","--"
"23","~~~Schedule Caste","16.42 %","12.5 %","--"
"24","~~~Others","77.25 %","83.43 %","--"
"25","Ever smoked %","----","----","0.021"
"26","~~~No","62.4 %","68.79 %","--"
"27","~~~Yes","37.6 %","31.21 %","--"
"28","Difficulty in cognition with concentrating/remembering things %","----","----","0.036"
"29","~~~Moderate or worse","38.42 %","32.84 %","--"
"30","~~~None/Mild","61.58 %","67.16 %","--"
"31","Currently working %","----","----","0.008"
"32","~~~Yes","60.63 %","50.5 %","--"
"33","~~~No","39.37 %","49.5 %","--"
"34","Ever Been to School %","----","----","<0.001"
"35","~~~Yes","58.65 %","66.27 %","--"
"36","~~~No","41.35 %","33.73 %","--"
"37","Feeling sad/low/depression %","----","----","0.012"
"38","~~~None/Mild","69.97 %","75.24 %","--"
"39","~~~Moderate or worse","30.03 %","24.76 %","--"
"40","Self reported prevalence of depression %","----","----","<0.001"
"41","~~~No","89.24 %","96.21 %","--"
"42","~~~Yes","10.76 %","3.79 %","--"
"43","Worry or anxiety %","----","----","0.005"
"44","~~~None/Mild","57.03 %","64.53 %","--"
"45","~~~Moderate or worse","42.97 %","35.47 %","--"
"46","Cataracts- New Sample (Chronic Conditions) %","----","----","0.831"
"47","~~~No","76.05 %","75.53 %","--"
"48","~~~Yes","23.95 %","24.47 %","--"
