"","Name","Nonadhering","Adhering","Pvalue"
"1","Age Group %","----","----","<0.001"
"2","~~~<50","16.62 %","10.53 %","--"
"3","~~~>=50","83.38 %","89.47 %","--"
"4","Sex of the respondent %","----","----","0.426"
"5","~~~Male","45.68 %","47.44 %","--"
"6","~~~Female","54.32 %","52.56 %","--"
"7","5 quantiles of wealthscore %","----","----","0.008"
"8","~~~1","17.59 %","12.48 %","--"
"9","~~~2","17.54 %","13.92 %","--"
"10","~~~3","15.73 %","18.9 %","--"
"11","~~~4","21.53 %","21.72 %","--"
"12","~~~5","27.61 %","32.99 %","--"
"13","Number of Chronic Conditions [mean (SD)]","1.5 (0.74)","1.2 (0.5)","<0.001"
"14","Place of residence %","----","----","0.006"
"15","~~~Urban","27.02 %","37.1 %","--"
"16","~~~Rural","72.98 %","62.9 %","--"
"17","Region %","----","----","<0.001"
"18","~~~ASSAM","11.71 %","4.1 %","--"
"19","~~~KARNATAKA","9.15 %","17.36 %","--"
"20","~~~MAHARASHTRA","19.21 %","17.72 %","--"
"21","~~~RAJASTHAN","19.85 %","12.04 %","--"
"22","~~~UTTAR PRADESH","21.59 %","21.65 %","--"
"23","~~~WEST BENGAL","18.49 %","27.14 %","--"
"24","Current Marital Status %","----","----","0.404"
"25","~~~Currently Married","74.24 %","75.87 %","--"
"26","~~~Not Currently Married","25.76 %","24.13 %","--"
"27","Religion %","----","----","0.231"
"28","~~~Hinduism","82.31 %","84.43 %","--"
"29","~~~Islam","12.96 %","12.49 %","--"
"30","~~~Other / None","4.73 %","3.07 %","--"
"31","Ethnic Group %","----","----","0.002"
"32","~~~Schedule Tribe","6.33 %","4.07 %","--"
"33","~~~Schedule Caste","16.42 %","12.5 %","--"
"34","~~~Others","77.25 %","83.43 %","--"
"35","Ever smoked %","----","----","0.021"
"36","~~~No","62.4 %","68.79 %","--"
"37","~~~Yes","37.6 %","31.21 %","--"
"38","Consumed alcohol last 30 days %","----","----","0.344"
"39","~~~Yes","51.02 %","44.75 %","--"
"40","~~~No","48.98 %","55.25 %","--"
"41","Rate your health %","----","----","0.485"
"42","~~~Poor","68.67 %","70.42 %","--"
"43","~~~Good","31.33 %","29.58 %","--"
"44","Difficulty in cognition with concentrating/remembering things %","----","----","0.036"
"45","~~~Moderate or worse","38.42 %","32.84 %","--"
"46","~~~None/Mild","61.58 %","67.16 %","--"
"47","Difficulty in moving around %","----","----","0.397"
"48","~~~Moderate or worse","41.59 %","39.42 %","--"
"49","~~~None/Mild","58.41 %","60.58 %","--"
"50","Community Support %","----","----","0.152"
"51","~~~Yes","39.03 %","48.19 %","--"
"52","~~~No","60.97 %","51.81 %","--"
"53","Currently working %","----","----","0.008"
"54","~~~Yes","60.63 %","50.5 %","--"
"55","~~~No","39.37 %","49.5 %","--"
"56","Health care provider %","----","----","0.214"
"57","~~~Private","66.4 %","69.62 %","--"
"58","~~~Public","26.39 %","22.67 %","--"
"59","~~~Community","3.92 %","5.25 %","--"
"60","~~~Other","3.29 %","2.46 %","--"
"61","Ever Been to School %","----","----","<0.001"
"62","~~~Yes","58.65 %","66.27 %","--"
"63","~~~No","41.35 %","33.73 %","--"
"64","Level of Education %","----","----","0.315"
"65","~~~Less than primary school/don't know","23.16 %","23.72 %","--"
"66","~~~Secondary school and below","48.12 %","43.45 %","--"
"67","~~~Past secondary school","28.73 %","32.83 %","--"
"68","Feeling sad/low/depression %","----","----","0.012"
"69","~~~None/Mild","69.97 %","75.24 %","--"
"70","~~~Moderate or worse","30.03 %","24.76 %","--"
"71","Worry or anxiety %","----","----","0.005"
"72","~~~None/Mild","57.03 %","64.53 %","--"
"73","~~~Moderate or worse","42.97 %","35.47 %","--"
"74","Cataracts- New Sample (Chronic Conditions) %","----","----","0.831"
"75","~~~No","76.05 %","75.53 %","--"
"76","~~~Yes","23.95 %","24.47 %","--"
"77","Money to meed needs %","----","----","0.795"
"78","~~~Completely","8.51 %","9.53 %","--"
"79","~~~Mostly","15.64 %","17.61 %","--"
"80","~~~Moderately","45.56 %","44.17 %","--"
"81","~~~A little","22.91 %","21.83 %","--"
"82","~~~None at all","7.39 %","6.86 %","--"
