"","Name","Nonadhering","Adhering","Pvalue"
"1","Age Group %","----","----","<0.001"
"2","~~~<50","9.78 %","2.59 %","--"
"3","~~~>=50","90.22 %","97.41 %","--"
"4","Sex of the respondent %","----","----","0.209"
"5","~~~Male","48.89 %","54.19 %","--"
"6","~~~Female","51.11 %","45.81 %","--"
"7","5 quantiles of wealthscore %","----","----","0.337"
"8","~~~1","13.83 %","8.92 %","--"
"9","~~~2","13.95 %","13.14 %","--"
"10","~~~3","14.87 %","17.2 %","--"
"11","~~~4","17.69 %","20.49 %","--"
"12","~~~5","39.66 %","40.24 %","--"
"13","Place of residence %","----","----","0.455"
"14","~~~Urban","36.84 %","41.04 %","--"
"15","~~~Rural","63.16 %","58.96 %","--"
"16","Region %","----","----","<0.001"
"17","~~~ASSAM","11.05 %","2 %","--"
"18","~~~KARNATAKA","10.76 %","21.09 %","--"
"19","~~~MAHARASHTRA","18.05 %","18.9 %","--"
"20","~~~RAJASTHAN","18.94 %","14.2 %","--"
"21","~~~UTTAR PRADESH","20.39 %","13.2 %","--"
"22","~~~WEST BENGAL","20.82 %","30.61 %","--"
"23","Current Marital Status %","----","----","0.69"
"24","~~~Currently Married","74.06 %","75.55 %","--"
"25","~~~Not Currently Married","25.94 %","24.45 %","--"
"26","Religion %","----","----","0.198"
"27","~~~Hinduism","79.11 %","83.75 %","--"
"28","~~~Islam","15.2 %","14.18 %","--"
"29","~~~Other / None","5.68 %","2.07 %","--"
"30","Ethnic Group %","----","----","0.162"
"31","~~~Schedule Tribe","4.51 %","3.81 %","--"
"32","~~~Schedule Caste","15.74 %","9.84 %","--"
"33","~~~Others","79.75 %","86.35 %","--"
"34","Ever smoked %","----","----","0.91"
"35","~~~No","66.18 %","66.63 %","--"
"36","~~~Yes","33.82 %","33.37 %","--"
"37","Consumed alcohol last 30 days %","----","----","0.988"
"38","~~~Yes","44.09 %","43.88 %","--"
"39","~~~No","55.91 %","56.12 %","--"
"40","Rate your health %","----","----","0.736"
"41","~~~Poor","73.23 %","74.6 %","--"
"42","~~~Good","26.77 %","25.4 %","--"
"43","Difficulty in cognition with concentrating/remembering things %","----","----","0.111"
"44","~~~Moderate or worse","43.38 %","35.9 %","--"
"45","~~~None/Mild","56.62 %","64.1 %","--"
"46","Difficulty in moving around %","----","----","0.678"
"47","~~~Moderate or worse","47.78 %","49.53 %","--"
"48","~~~None/Mild","52.22 %","50.47 %","--"
"49","Community Support %","----","----","0.578"
"50","~~~Yes","48.97 %","55.19 %","--"
"51","~~~No","51.03 %","44.81 %","--"
"52","Currently working %","----","----","0.06"
"53","~~~Yes","48.55 %","36.49 %","--"
"54","~~~No","51.45 %","63.51 %","--"
"55","Health care provider %","----","----","0.385"
"56","~~~Private","63.95 %","67.93 %","--"
"57","~~~Public","28.11 %","27.19 %","--"
"58","~~~Community","5.83 %","4.51 %","--"
"59","~~~Other","2.11 %","0.37 %","--"
"60","Ever Been to School %","----","----","0.709"
"61","~~~Yes","68.43 %","70 %","--"
"62","~~~No","31.57 %","30 %","--"
"63","Level of Education %","----","----","0.212"
"64","~~~Less than primary school/don't know","23.23 %","25.01 %","--"
"65","~~~Secondary school and below","42.94 %","35.17 %","--"
"66","~~~Past secondary school","33.83 %","39.81 %","--"
"67","Feeling sad/low/depression %","----","----","0.206"
"68","~~~None/Mild","69.67 %","74.6 %","--"
"69","~~~Moderate or worse","30.33 %","25.4 %","--"
"70","Worry or anxiety %","----","----","0.317"
"71","~~~None/Mild","56.74 %","61.63 %","--"
"72","~~~Moderate or worse","43.26 %","38.37 %","--"
"73","Cataracts- New Sample (Chronic Conditions) %","----","----","0.904"
"74","~~~No","66.81 %","67.41 %","--"
"75","~~~Yes","33.19 %","32.59 %","--"
"76","Money to meed needs %","----","----","0.945"
"77","~~~Completely","10.18 %","10.51 %","--"
"78","~~~Mostly","19.08 %","17.12 %","--"
"79","~~~Moderately","41.61 %","44.17 %","--"
"80","~~~A little","23.46 %","21.67 %","--"
"81","~~~None at all","5.67 %","6.53 %","--"
