"","Name","Nonadhering","Adhering","Pvalue"
"1","Age Group [n (%)]","----","----","<0.001"
"2","~~~<50","218 (15.33 %)","119 (8.39 %)","--"
"3","~~~>=50","1204 (84.67 %)","1299 (91.61 %)","--"
"4","Sex of the respondent [n (%)]","----","----","0.165"
"5","~~~Male","637 (44.8 %)","672 (47.39 %)","--"
"6","~~~Female","785 (55.2 %)","746 (52.61 %)","--"
"7","5 quantiles of wealthscore [n (%)]","----","----","<0.001"
"8","~~~1","236 (16.6 %)","174 (12.27 %)","--"
"9","~~~2","263 (18.5 %)","205 (14.46 %)","--"
"10","~~~3","235 (16.53 %)","264 (18.62 %)","--"
"11","~~~4","305 (21.45 %)","308 (21.72 %)","--"
"12","~~~5","383 (26.93 %)","467 (32.93 %)","--"
"13","Number of Chronic Conditions [mean (SD)]","1.5 (0.76)","1.3 (0.53)","<0.001"
"14","Place of residence [n (%)]","----","----","<0.001"
"15","~~~Urban","317 (22.29 %)","461 (32.51 %)","--"
"16","~~~Rural","1105 (77.71 %)","957 (67.49 %)","--"
"17","Region [n (%)]","----","----","<0.001"
"18","~~~ASSAM","274 (19.27 %)","105 (7.4 %)","--"
"19","~~~KARNATAKA","118 (8.3 %)","254 (17.91 %)","--"
"20","~~~MAHARASHTRA","194 (13.64 %)","220 (15.51 %)","--"
"21","~~~RAJASTHAN","395 (27.78 %)","282 (19.89 %)","--"
"22","~~~UTTAR PRADESH","201 (14.14 %)","193 (13.61 %)","--"
"23","~~~WEST BENGAL","240 (16.88 %)","364 (25.67 %)","--"
"24","Current Marital Status [n (%)]","----","----","0.523"
"25","~~~Currently Married","1042 (73.28 %)","1054 (74.33 %)","--"
"26","~~~Not Currently Married","380 (26.72 %)","364 (25.67 %)","--"
"27","Religion [n (%)]","----","----","0.637"
"28","~~~Hinduism","1158 (81.43 %)","1173 (82.72 %)","--"
"29","~~~Islam","195 (13.71 %)","184 (12.98 %)","--"
"30","~~~Other / None","69 (4.85 %)","61 (4.3 %)","--"
"31","Ethnic Group [n (%)]","----","----","<0.001"
"32","~~~Schedule Tribe","103 (7.24 %)","56 (3.95 %)","--"
"33","~~~Schedule Caste","248 (17.44 %)","212 (14.95 %)","--"
"34","~~~Others","1071 (75.32 %)","1150 (81.1 %)","--"
"35","Ever smoked [n (%)]","----","----","0.015"
"36","~~~No","908 (63.85 %)","967 (68.19 %)","--"
"37","~~~Yes","514 (36.15 %)","451 (31.81 %)","--"
"38","Consumed alcohol last 30 days [n (%)]","----","----","0.204"
"39","~~~Yes","116 (56.04 %)","80 (49.38 %)","--"
"40","~~~No","91 (43.96 %)","82 (50.62 %)","--"
"41","Rate your health [n (%)]","----","----","0.095"
"42","~~~Poor","962 (67.7 %)","1001 (70.59 %)","--"
"43","~~~Good","459 (32.3 %)","417 (29.41 %)","--"
"44","Difficulty in cognition with concentrating/remembering things [n (%)]","----","----","0.009"
"45","~~~Moderate or worse","541 (38.05 %)","473 (33.36 %)","--"
"46","~~~None/Mild","881 (61.95 %)","945 (66.64 %)","--"
"47","Difficulty in moving around [n (%)]","----","----","0.668"
"48","~~~Moderate or worse","561 (39.53 %)","571 (40.32 %)","--"
"49","~~~None/Mild","858 (60.47 %)","845 (59.68 %)","--"
"50","Community Support [n (%)]","----","----","0.051"
"51","~~~Yes","84 (34.01 %)","82 (43.16 %)","--"
"52","~~~No","163 (65.99 %)","108 (56.84 %)","--"
"53","Currently working [n (%)]","----","----","<0.001"
"54","~~~Yes","426 (61.38 %)","359 (49.04 %)","--"
"55","~~~No","268 (38.62 %)","373 (50.96 %)","--"
"56","Health care provider [n (%)]","----","----","0.682"
"57","~~~Private","435 (55.56 %)","483 (57.43 %)","--"
"58","~~~Public","281 (35.89 %)","284 (33.77 %)","--"
"59","~~~Community","37 (4.73 %)","46 (5.47 %)","--"
"60","~~~Other","30 (3.83 %)","28 (3.33 %)","--"
"61","Ever Been to School [n (%)]","----","----","<0.001"
"62","~~~Yes","780 (54.85 %)","887 (62.55 %)","--"
"63","~~~No","642 (45.15 %)","531 (37.45 %)","--"
"64","Level of Education [n (%)]","----","----","0.7"
"65","~~~Less than primary school/don't know","194 (24.87 %)","224 (25.25 %)","--"
"66","~~~Secondary school and below","373 (47.82 %)","407 (45.89 %)","--"
"67","~~~Past secondary school","213 (27.31 %)","256 (28.86 %)","--"
"68","Feeling sad/low/depression [n (%)]","----","----","0.005"
"69","~~~None/Mild","996 (70.04 %)","1060 (74.75 %)","--"
"70","~~~Moderate or worse","426 (29.96 %)","358 (25.25 %)","--"
"71","Worry or anxiety [n (%)]","----","----","<0.001"
"72","~~~None/Mild","802 (56.4 %)","909 (64.1 %)","--"
"73","~~~Moderate or worse","620 (43.6 %)","509 (35.9 %)","--"
"74","Cataracts- New Sample (Chronic Conditions) [n (%)]","----","----","0.022"
"75","~~~No","1103 (77.62 %)","1047 (73.94 %)","--"
"76","~~~Yes","318 (22.38 %)","369 (26.06 %)","--"
"77","Money to meed needs [n (%)]","----","----","0.343"
"78","~~~Completely","118 (8.31 %)","148 (10.44 %)","--"
"79","~~~Mostly","238 (16.76 %)","224 (15.81 %)","--"
"80","~~~Moderately","656 (46.2 %)","659 (46.51 %)","--"
"81","~~~A little","310 (21.83 %)","290 (20.47 %)","--"
"82","~~~None at all","98 (6.9 %)","96 (6.77 %)","--"
