"","Name","Nonadhering","Adhering","Pvalue"
"1","Age Group %","----","----","<0.001"
"2","~~~<50","20.49 %","12.58 %","--"
"3","~~~>=50","79.51 %","87.42 %","--"
"4","Sex of the respondent %","----","----","0.477"
"5","~~~Male","43.87 %","45.7 %","--"
"6","~~~Female","56.13 %","54.3 %","--"
"7","5 quantiles of wealthscore %","----","----","0.003"
"8","~~~1","19.72 %","13.4 %","--"
"9","~~~2","19.57 %","14.12 %","--"
"10","~~~3","16.21 %","19.33 %","--"
"11","~~~4","23.7 %","22.03 %","--"
"12","~~~5","20.79 %","31.11 %","--"
"13","Place of residence %","----","----","<0.001"
"14","~~~Urban","21.47 %","36.09 %","--"
"15","~~~Rural","78.53 %","63.91 %","--"
"16","Region %","----","----","<0.001"
"17","~~~ASSAM","12.09 %","4.64 %","--"
"18","~~~KARNATAKA","8.24 %","16.4 %","--"
"19","~~~MAHARASHTRA","19.87 %","17.41 %","--"
"20","~~~RAJASTHAN","20.36 %","11.48 %","--"
"21","~~~UTTAR PRADESH","22.27 %","23.83 %","--"
"22","~~~WEST BENGAL","17.18 %","26.24 %","--"
"23","Current Marital Status %","----","----","0.432"
"24","~~~Currently Married","74.34 %","75.95 %","--"
"25","~~~Not Currently Married","25.66 %","24.05 %","--"
"26","Religion %","----","----","0.683"
"27","~~~Hinduism","84.12 %","84.61 %","--"
"28","~~~Islam","11.69 %","12.06 %","--"
"29","~~~Other / None","4.19 %","3.33 %","--"
"30","Ethnic Group %","----","----","0.003"
"31","~~~Schedule Tribe","7.36 %","4.14 %","--"
"32","~~~Schedule Caste","16.81 %","13.18 %","--"
"33","~~~Others","75.83 %","82.68 %","--"
"34","Ever smoked %","----","----","0.013"
"35","~~~No","60.27 %","69.35 %","--"
"36","~~~Yes","39.73 %","30.65 %","--"
"37","Consumed alcohol last 30 days %","----","----","0.162"
"38","~~~Yes","54.43 %","45.04 %","--"
"39","~~~No","45.57 %","54.96 %","--"
"40","Rate your health %","----","----","0.263"
"41","~~~Poor","66.08 %","69.34 %","--"
"42","~~~Good","33.92 %","30.66 %","--"
"43","Difficulty in cognition with concentrating/remembering things %","----","----","0.196"
"44","~~~Moderate or worse","35.62 %","32.05 %","--"
"45","~~~None/Mild","64.38 %","67.95 %","--"
"46","Difficulty in moving around %","----","----","0.68"
"47","~~~Moderate or worse","38.08 %","36.81 %","--"
"48","~~~None/Mild","61.92 %","63.19 %","--"
"49","Community Support %","----","----","0.049"
"50","~~~Yes","31.93 %","45.62 %","--"
"51","~~~No","68.07 %","54.38 %","--"
"52","Currently working %","----","----","0.004"
"53","~~~Yes","66.81 %","54.64 %","--"
"54","~~~No","33.19 %","45.36 %","--"
"55","Health care provider %","----","----","0.093"
"56","~~~Private","63.98 %","67.63 %","--"
"57","~~~Public","28.39 %","23.42 %","--"
"58","~~~Community","3.4 %","5.83 %","--"
"59","~~~Other","4.23 %","3.12 %","--"
"60","Ever Been to School %","----","----","<0.001"
"61","~~~Yes","53.12 %","65.3 %","--"
"62","~~~No","46.88 %","34.7 %","--"
"63","Level of Education %","----","----","0.232"
"64","~~~Less than primary school/don't know","23.11 %","23.36 %","--"
"65","~~~Secondary school and below","51.89 %","45.74 %","--"
"66","~~~Past secondary school","25 %","30.9 %","--"
"67","Feeling sad/low/depression %","----","----","0.045"
"68","~~~None/Mild","70.14 %","75.41 %","--"
"69","~~~Moderate or worse","29.86 %","24.59 %","--"
"70","Worry or anxiety %","----","----","0.01"
"71","~~~None/Mild","57.19 %","65.28 %","--"
"72","~~~Moderate or worse","42.81 %","34.72 %","--"
"73","Cataracts- New Sample (Chronic Conditions) %","----","----","0.175"
"74","~~~No","81.29 %","77.62 %","--"
"75","~~~Yes","18.71 %","22.38 %","--"
"76","Money to meed needs %","----","----","0.407"
"77","~~~Completely","7.56 %","9.27 %","--"
"78","~~~Mostly","13.7 %","17.74 %","--"
"79","~~~Moderately","47.78 %","44.17 %","--"
"80","~~~A little","22.6 %","21.87 %","--"
"81","~~~None at all","8.36 %","6.95 %","--"
