"","Name","Nonadhering","Adhering","Pvalue"
"1","Age in Years [mean (SD)]","63 (11)","62 (11)","0.67"
"2","Age Group %","----","----","0.715"
"3","~~~<50","11.9 %","9.86 %","--"
"4","~~~>=50","88.1 %","90.14 %","--"
"5","Sex of the respondent %","----","----","0.973"
"6","~~~Male","58.88 %","59.19 %","--"
"7","~~~Female","41.12 %","40.81 %","--"
"8","5 quantiles of wealthscore %","----","----","0.772"
"9","~~~1","12.42 %","9.46 %","--"
"10","~~~2","16.39 %","13.91 %","--"
"11","~~~3","14.23 %","19.52 %","--"
"12","~~~4","21.37 %","16.36 %","--"
"13","~~~5","35.59 %","40.76 %","--"
"14","Place of residence %","----","----","0.981"
"15","~~~Urban","42.67 %","42.93 %","--"
"16","~~~Rural","57.33 %","57.07 %","--"
"17","Region %","----","----","0.066"
"18","~~~ASSAM","9.21 %","2.85 %","--"
"19","~~~KARNATAKA","14.17 %","19.09 %","--"
"20","~~~MAHARASHTRA","33.44 %","23.57 %","--"
"21","~~~RAJASTHAN","14.18 %","9.24 %","--"
"22","~~~UTTAR PRADESH","10.15 %","20.55 %","--"
"23","~~~WEST BENGAL","18.85 %","24.7 %","--"
"24","Current Marital Status %","----","----","0.327"
"25","~~~Currently Married","84.22 %","78.33 %","--"
"26","~~~Not Currently Married","15.78 %","21.67 %","--"
"27","Religion %","----","----","0.523"
"28","~~~Hinduism","83.95 %","77.2 %","--"
"29","~~~Islam","12.88 %","15.68 %","--"
"30","~~~Other / None","3.17 %","7.12 %","--"
"31","Ethnic Group %","----","----","0.106"
"32","~~~Schedule Tribe","10.22 %","3.55 %","--"
"33","~~~Schedule Caste","13.82 %","8.1 %","--"
"34","~~~Others","75.96 %","88.35 %","--"
"35","Ever smoked %","----","----","0.313"
"36","~~~No","53.07 %","62.96 %","--"
"37","~~~Yes","46.93 %","37.04 %","--"
"38","Consumed alcohol last 30 days %","----","----","0.315"
"39","~~~Yes","31.14 %","53.71 %","--"
"40","~~~No","68.86 %","46.29 %","--"
"41","Rate your health %","----","----","0.634"
"42","~~~Poor","78.4 %","74.59 %","--"
"43","~~~Good","21.6 %","25.41 %","--"
"44","Difficulty in cognition with concentrating/remembering things %","----","----","0.981"
"45","~~~Moderate or worse","38.82 %","38.6 %","--"
"46","~~~None/Mild","61.18 %","61.4 %","--"
"47","Difficulty in moving around %","----","----","0.359"
"48","~~~Moderate or worse","37.74 %","46.17 %","--"
"49","~~~None/Mild","62.26 %","53.83 %","--"
"50","Community Support %","----","----","0.225"
"51","~~~Yes","40.5 %","57.49 %","--"
"52","~~~No","59.5 %","42.51 %","--"
"53","Currently working %","----","----","0.083"
"54","~~~Yes","70.94 %","51.44 %","--"
"55","~~~No","29.06 %","48.56 %","--"
"56","Health care provider %","----","----","0.465"
"57","~~~Private","63.96 %","80.33 %","--"
"58","~~~Public","31.04 %","14.7 %","--"
"59","~~~Community","2.7 %","3.62 %","--"
"60","~~~Other","2.3 %","1.35 %","--"
"61","Ever Been to School %","----","----","0.439"
"62","~~~Yes","70.18 %","75.45 %","--"
"63","~~~No","29.82 %","24.55 %","--"
"64","Level of Education %","----","----","0.216"
"65","~~~Less than primary school/don't know","16.26 %","19.34 %","--"
"66","~~~Secondary school and below","58.28 %","36.04 %","--"
"67","~~~Past secondary school","25.46 %","44.62 %","--"
"68","Feeling sad/low/depression %","----","----","0.159"
"69","~~~None/Mild","64.43 %","75.37 %","--"
"70","~~~Moderate or worse","35.57 %","24.63 %","--"
"71","Worry or anxiety %","----","----","0.466"
"72","~~~None/Mild","68.53 %","62.33 %","--"
"73","~~~Moderate or worse","31.47 %","37.67 %","--"
"74","Cataracts- New Sample (Chronic Conditions) %","----","----","0.096"
"75","~~~No","56.98 %","74.08 %","--"
"76","~~~Yes","43.02 %","25.92 %","--"
"77","Money to meed needs %","----","----","0.264"
"78","~~~Completely","5.77 %","10.74 %","--"
"79","~~~Mostly","11.73 %","22.7 %","--"
"80","~~~Moderately","54.53 %","38.89 %","--"
"81","~~~A little","23.74 %","22.5 %","--"
"82","~~~None at all","4.22 %","5.18 %","--"
