"","Name","Nonadhering","Adhering","Pvalue"
"1","Age Group %","----","----","0.235"
"2","~~~<50","11.79 %","7.77 %","--"
"3","~~~>=50","88.21 %","92.23 %","--"
"4","Sex of the respondent %","----","----","0.328"
"5","~~~Male","53.07 %","58.29 %","--"
"6","~~~Female","46.93 %","41.71 %","--"
"7","5 quantiles of wealthscore %","----","----","0.052"
"8","~~~1","29.79 %","21.5 %","--"
"9","~~~2","22.74 %","15.14 %","--"
"10","~~~3","15.3 %","19.45 %","--"
"11","~~~4","14.78 %","21.54 %","--"
"12","~~~5","17.4 %","22.37 %","--"
"13","Place of residence %","----","----","0.718"
"14","~~~Urban","19.82 %","21.47 %","--"
"15","~~~Rural","80.18 %","78.53 %","--"
"16","Region %","----","----","0.063"
"17","~~~ASSAM","12.07 %","5.79 %","--"
"18","~~~KARNATAKA","4.43 %","9.11 %","--"
"19","~~~MAHARASHTRA","19.43 %","21.68 %","--"
"20","~~~RAJASTHAN","19.69 %","20.47 %","--"
"21","~~~UTTAR PRADESH","30.52 %","23.09 %","--"
"22","~~~WEST BENGAL","13.86 %","19.87 %","--"
"23","Current Marital Status %","----","----","0.135"
"24","~~~Currently Married","77.36 %","70.4 %","--"
"25","~~~Not Currently Married","22.64 %","29.6 %","--"
"26","Religion %","----","----","0.501"
"27","~~~Hinduism","80.64 %","84.49 %","--"
"28","~~~Islam","13.36 %","12.61 %","--"
"29","~~~Other / None","6 %","2.9 %","--"
"30","Ethnic Group %","----","----","0.488"
"31","~~~Schedule Tribe","9.28 %","6.89 %","--"
"32","~~~Schedule Caste","16.19 %","20.74 %","--"
"33","~~~Others","74.53 %","72.37 %","--"
"34","Ever smoked %","----","----","0.574"
"35","~~~No","52.9 %","56.17 %","--"
"36","~~~Yes","47.1 %","43.83 %","--"
"37","Consumed alcohol last 30 days %","----","----","0.654"
"38","~~~Yes","55.73 %","48.67 %","--"
"39","~~~No","44.27 %","51.33 %","--"
"40","Rate your health %","----","----","0.545"
"41","~~~Poor","77.43 %","74.7 %","--"
"42","~~~Good","22.57 %","25.3 %","--"
"43","Difficulty in cognition with concentrating/remembering things %","----","----","0.853"
"44","~~~Moderate or worse","36.95 %","38.06 %","--"
"45","~~~None/Mild","63.05 %","61.94 %","--"
"46","Difficulty in moving around %","----","----","0.526"
"47","~~~Moderate or worse","43.27 %","47.16 %","--"
"48","~~~None/Mild","56.73 %","52.84 %","--"
"49","Community Support %","----","----","0.879"
"50","~~~Yes","41.2 %","39.04 %","--"
"51","~~~No","58.8 %","60.96 %","--"
"52","Currently working %","----","----","0.024"
"53","~~~Yes","65.62 %","48.43 %","--"
"54","~~~No","34.38 %","51.57 %","--"
"55","Health care provider %","----","----","0.977"
"56","~~~Private","57.5 %","55.03 %","--"
"57","~~~Public","34.16 %","35.17 %","--"
"58","~~~Community","5.16 %","6.36 %","--"
"59","~~~Other","3.18 %","3.43 %","--"
"60","Ever Been to School %","----","----","0.81"
"61","~~~Yes","55.59 %","54.34 %","--"
"62","~~~No","44.41 %","45.66 %","--"
"63","Level of Education %","----","----","0.979"
"64","~~~Less than primary school/don't know","34.3 %","35.62 %","--"
"65","~~~Secondary school and below","47.65 %","47.31 %","--"
"66","~~~Past secondary school","18.04 %","17.07 %","--"
"67","Feeling sad/low/depression %","----","----","0.313"
"68","~~~None/Mild","75.89 %","70.98 %","--"
"69","~~~Moderate or worse","24.11 %","29.02 %","--"
"70","Worry or anxiety %","----","----","0.65"
"71","~~~None/Mild","58.39 %","55.91 %","--"
"72","~~~Moderate or worse","41.61 %","44.09 %","--"
"73","Cataracts- New Sample (Chronic Conditions) %","----","----","0.126"
"74","~~~No","76 %","69.33 %","--"
"75","~~~Yes","24 %","30.67 %","--"
"76","Money to meed needs %","----","----","0.073"
"77","~~~Completely","3.54 %","9.61 %","--"
"78","~~~Mostly","13.35 %","11.58 %","--"
"79","~~~Moderately","44.85 %","47.78 %","--"
"80","~~~A little","31.48 %","24.63 %","--"
"81","~~~None at all","6.78 %","6.39 %","--"
