"","Name","Nonadhering","Adhering","Pvalue"
"1","Age in Years [mean (SD)]","57 (15)","55 (16)","0.536"
"2","Age Group %","----","----","0.814"
"3","~~~<50","29.5 %","31.86 %","--"
"4","~~~>=50","70.5 %","68.14 %","--"
"5","Sex of the respondent %","----","----","0.22"
"6","~~~Male","35.97 %","48.14 %","--"
"7","~~~Female","64.03 %","51.86 %","--"
"8","5 quantiles of wealthscore %","----","----","0.588"
"9","~~~1","20.17 %","25.54 %","--"
"10","~~~2","27.83 %","18.98 %","--"
"11","~~~3","18.86 %","13.94 %","--"
"12","~~~4","14.67 %","20.98 %","--"
"13","~~~5","18.47 %","20.56 %","--"
"14","Place of residence %","----","----","0.109"
"15","~~~Urban","10.51 %","28.83 %","--"
"16","~~~Rural","89.49 %","71.17 %","--"
"17","Region %","----","----","0.141"
"18","~~~ASSAM","15.07 %","3.43 %","--"
"19","~~~KARNATAKA","18.98 %","18.82 %","--"
"20","~~~MAHARASHTRA","10.11 %","8.36 %","--"
"21","~~~RAJASTHAN","31.4 %","24.45 %","--"
"22","~~~UTTAR PRADESH","11.04 %","23.1 %","--"
"23","~~~WEST BENGAL","13.4 %","21.85 %","--"
"24","Current Marital Status %","----","----","0.97"
"25","~~~Currently Married","67.55 %","67.93 %","--"
"26","~~~Not Currently Married","32.45 %","32.07 %","--"
"27","Religion %","----","----","0.707"
"28","~~~Hinduism","85.38 %","83.57 %","--"
"29","~~~Islam","12.13 %","11.46 %","--"
"30","~~~Other / None","2.49 %","4.98 %","--"
"31","Ethnic Group %","----","----","0.755"
"32","~~~Schedule Tribe","5.69 %","4.62 %","--"
"33","~~~Schedule Caste","24.82 %","20.16 %","--"
"34","~~~Others","69.49 %","75.22 %","--"
"35","Ever smoked %","----","----","0.887"
"36","~~~No","67.42 %","68.5 %","--"
"37","~~~Yes","32.58 %","31.5 %","--"
"38","Consumed alcohol last 30 days %","----","----","0.371"
"39","~~~Yes","65.85 %","84.77 %","--"
"40","~~~No","34.15 %","15.23 %","--"
"41","Rate your health %","----","----","0.269"
"42","~~~Poor","71.91 %","61.08 %","--"
"43","~~~Good","28.09 %","38.92 %","--"
"44","Difficulty in cognition with concentrating/remembering things %","----","----","0.808"
"45","~~~Moderate or worse","44.84 %","47.19 %","--"
"46","~~~None/Mild","55.16 %","52.81 %","--"
"47","Difficulty in moving around %","----","----","0.575"
"48","~~~Moderate or worse","46.56 %","41.52 %","--"
"49","~~~None/Mild","53.44 %","58.48 %","--"
"50","Community Support %","----","----","0.182"
"51","~~~Yes","51.42 %","21.87 %","--"
"52","~~~No","48.58 %","78.13 %","--"
"53","Currently working %","----","----","0.991"
"54","~~~Yes","56.6 %","56.76 %","--"
"55","~~~No","43.4 %","43.24 %","--"
"56","Health care provider %","----","----","0.594"
"57","~~~Private","56.73 %","60.71 %","--"
"58","~~~Public","35.15 %","35.89 %","--"
"59","~~~Community","6.78 %","1.25 %","--"
"60","~~~Other","1.34 %","2.14 %","--"
"61","Ever Been to School %","----","----","0.077"
"62","~~~Yes","48.97 %","66.06 %","--"
"63","~~~No","51.03 %","33.94 %","--"
"64","Level of Education %","----","----","0.387"
"65","~~~Less than primary school/don't know","25.16 %","24.57 %","--"
"66","~~~Secondary school and below","52.37 %","34.88 %","--"
"67","~~~Past secondary school","22.47 %","40.55 %","--"
"68","Feeling sad/low/depression %","----","----","0.834"
"69","~~~None/Mild","62.56 %","60.56 %","--"
"70","~~~Moderate or worse","37.44 %","39.44 %","--"
"71","Worry or anxiety %","----","----","0.871"
"72","~~~None/Mild","44.1 %","42.55 %","--"
"73","~~~Moderate or worse","55.9 %","57.45 %","--"
"74","Cataracts- New Sample (Chronic Conditions) %","----","----","0.421"
"75","~~~No","76.76 %","70.22 %","--"
"76","~~~Yes","23.24 %","29.78 %","--"
"77","Money to meed needs %","----","----","0.22"
"78","~~~Completely","13.6 %","17.58 %","--"
"79","~~~Mostly","22.15 %","23.82 %","--"
"80","~~~Moderately","36.66 %","21.06 %","--"
"81","~~~A little","21.43 %","25.26 %","--"
"82","~~~None at all","6.16 %","12.27 %","--"
