"","Name","Nonadhering","Adhering","Pvalue"
"1","Age Group %","----","----","0.002"
"2","~~~<50","16.91 %","10.08 %","--"
"3","~~~>=50","83.09 %","89.92 %","--"
"4","Sex of the respondent %","----","----","0.576"
"5","~~~Male","39.36 %","41.17 %","--"
"6","~~~Female","60.64 %","58.83 %","--"
"7","5 quantiles of wealthscore %","----","----","0.043"
"8","~~~1","16.42 %","12.33 %","--"
"9","~~~2","15.38 %","13.16 %","--"
"10","~~~3","14.32 %","19.68 %","--"
"11","~~~4","21.65 %","21.03 %","--"
"12","~~~5","32.24 %","33.8 %","--"
"13","Place of residence %","----","----","0.046"
"14","~~~Urban","29.32 %","38.02 %","--"
"15","~~~Rural","70.68 %","61.98 %","--"
"16","Region %","----","----","<0.001"
"17","~~~ASSAM","14.37 %","5.15 %","--"
"18","~~~KARNATAKA","7.72 %","16.35 %","--"
"19","~~~MAHARASHTRA","21.16 %","15.04 %","--"
"20","~~~RAJASTHAN","19.01 %","11.7 %","--"
"21","~~~UTTAR PRADESH","22.54 %","18.72 %","--"
"22","~~~WEST BENGAL","15.2 %","33.04 %","--"
"23","Current Marital Status %","----","----","0.332"
"24","~~~Currently Married","71.41 %","74.54 %","--"
"25","~~~Not Currently Married","28.59 %","25.46 %","--"
"26","Religion %","----","----","0.631"
"27","~~~Hinduism","83.9 %","82.78 %","--"
"28","~~~Islam","11.29 %","13.12 %","--"
"29","~~~Other / None","4.82 %","4.1 %","--"
"30","Ethnic Group %","----","----","0.003"
"31","~~~Schedule Tribe","6.32 %","2.4 %","--"
"32","~~~Schedule Caste","15.11 %","12.52 %","--"
"33","~~~Others","78.57 %","85.08 %","--"
"34","Ever smoked %","----","----","0.233"
"35","~~~No","67.32 %","70.74 %","--"
"36","~~~Yes","32.68 %","29.26 %","--"
"37","Consumed alcohol last 30 days %","----","----","0.239"
"38","~~~Yes","53.28 %","41.8 %","--"
"39","~~~No","46.72 %","58.2 %","--"
"40","Rate your health %","----","----","0.024"
"41","~~~Poor","67.26 %","73.66 %","--"
"42","~~~Good","32.74 %","26.34 %","--"
"43","Difficulty in cognition with concentrating/remembering things %","----","----","0.476"
"44","~~~Moderate or worse","37.17 %","34.63 %","--"
"45","~~~None/Mild","62.83 %","65.37 %","--"
"46","Difficulty in moving around %","----","----","0.575"
"47","~~~Moderate or worse","41.44 %","43.28 %","--"
"48","~~~None/Mild","58.56 %","56.72 %","--"
"49","Community Support %","----","----","0.218"
"50","~~~Yes","40.55 %","50.78 %","--"
"51","~~~No","59.45 %","49.22 %","--"
"52","Currently working %","----","----","0.009"
"53","~~~Yes","57.12 %","45.08 %","--"
"54","~~~No","42.88 %","54.92 %","--"
"55","Health care provider %","----","----","0.699"
"56","~~~Private","61.93 %","58.76 %","--"
"57","~~~Public","29.48 %","29.93 %","--"
"58","~~~Community","5.02 %","7.43 %","--"
"59","~~~Other","3.57 %","3.88 %","--"
"60","Ever Been to School %","----","----","0.011"
"61","~~~Yes","57.56 %","66.35 %","--"
"62","~~~No","42.44 %","33.65 %","--"
"63","Level of Education %","----","----","0.273"
"64","~~~Less than primary school/don't know","21.63 %","23.33 %","--"
"65","~~~Secondary school and below","50.49 %","43.06 %","--"
"66","~~~Past secondary school","27.88 %","33.62 %","--"
"67","Feeling sad/low/depression %","----","----","0.968"
"68","~~~None/Mild","73.03 %","73.15 %","--"
"69","~~~Moderate or worse","26.97 %","26.85 %","--"
"70","Worry or anxiety %","----","----","0.555"
"71","~~~None/Mild","61.35 %","63.27 %","--"
"72","~~~Moderate or worse","38.65 %","36.73 %","--"
"73","Cataracts- New Sample (Chronic Conditions) %","----","----","0.766"
"74","~~~No","76.51 %","75.46 %","--"
"75","~~~Yes","23.49 %","24.54 %","--"
"76","Money to meed needs %","----","----","0.823"
"77","~~~Completely","9.61 %","8 %","--"
"78","~~~Mostly","16.89 %","16.3 %","--"
"79","~~~Moderately","46.04 %","46.94 %","--"
"80","~~~A little","19.98 %","21.69 %","--"
"81","~~~None at all","7.48 %","7.07 %","--"
