"","Name","Nonadhering","Adhering","Pvalue"
"1","Age Group %","----","----","0.398"
"2","~~~<50","8.56 %","5.01 %","--"
"3","~~~>=50","91.44 %","94.99 %","--"
"4","Sex of the respondent %","----","----","0.31"
"5","~~~Male","62.89 %","71.39 %","--"
"6","~~~Female","37.11 %","28.61 %","--"
"7","5 quantiles of wealthscore %","----","----","0.537"
"8","~~~1","25.44 %","19.14 %","--"
"9","~~~2","19.16 %","17.55 %","--"
"10","~~~3","12.26 %","12.16 %","--"
"11","~~~4","24.02 %","18.52 %","--"
"12","~~~5","19.12 %","32.63 %","--"
"13","Place of residence %","----","----","0.061"
"14","~~~Urban","14.2 %","32.5 %","--"
"15","~~~Rural","85.8 %","67.5 %","--"
"16","Region %","----","----","0.005"
"17","~~~ASSAM","6.64 %","2.98 %","--"
"18","~~~KARNATAKA","10.5 %","12.98 %","--"
"19","~~~MAHARASHTRA","6.56 %","15.57 %","--"
"20","~~~RAJASTHAN","26.6 %","24.27 %","--"
"21","~~~UTTAR PRADESH","39.31 %","15.3 %","--"
"22","~~~WEST BENGAL","10.39 %","28.89 %","--"
"23","Current Marital Status %","----","----","0.321"
"24","~~~Currently Married","73.02 %","80.27 %","--"
"25","~~~Not Currently Married","26.98 %","19.73 %","--"
"26","Religion %","----","----","0.685"
"27","~~~Hinduism","78.32 %","84.1 %","--"
"28","~~~Islam","17.45 %","11.78 %","--"
"29","~~~Other / None","4.23 %","4.11 %","--"
"30","Ethnic Group %","----","----","0.289"
"31","~~~Schedule Tribe","5.59 %","13.43 %","--"
"32","~~~Schedule Caste","16.8 %","13.87 %","--"
"33","~~~Others","77.61 %","72.7 %","--"
"34","Ever smoked %","----","----","0.88"
"35","~~~No","50.09 %","48.82 %","--"
"36","~~~Yes","49.91 %","51.18 %","--"
"37","Consumed alcohol last 30 days %","----","----","0.996"
"38","~~~Yes","36.05 %","35.93 %","--"
"39","~~~No","63.95 %","64.07 %","--"
"40","Rate your health %","----","----","0.763"
"41","~~~Poor","76.03 %","73.96 %","--"
"42","~~~Good","23.97 %","26.04 %","--"
"43","Difficulty in cognition with concentrating/remembering things %","----","----","0.253"
"44","~~~Moderate or worse","48.61 %","38.87 %","--"
"45","~~~None/Mild","51.39 %","61.13 %","--"
"46","Difficulty in moving around %","----","----","0.079"
"47","~~~Moderate or worse","54.89 %","38.87 %","--"
"48","~~~None/Mild","45.11 %","61.13 %","--"
"49","Community Support %","----","----","0.315"
"50","~~~Yes","35.33 %","55.5 %","--"
"51","~~~No","64.67 %","44.5 %","--"
"52","Currently working %","----","----","0.443"
"53","~~~Yes","59.19 %","51.15 %","--"
"54","~~~No","40.81 %","48.85 %","--"
"55","Health care provider %","----","----","0.644"
"56","~~~Private","69.17 %","59.79 %","--"
"57","~~~Public","25.94 %","33.72 %","--"
"58","~~~Community","3.47 %","1.97 %","--"
"59","~~~Other","1.42 %","4.52 %","--"
"60","Ever Been to School %","----","----","0.162"
"61","~~~Yes","60.56 %","71.86 %","--"
"62","~~~No","39.44 %","28.14 %","--"
"63","Level of Education %","----","----","0.3"
"64","~~~Less than primary school/don't know","27.14 %","29.05 %","--"
"65","~~~Secondary school and below","36.43 %","46.81 %","--"
"66","~~~Past secondary school","36.44 %","24.14 %","--"
"67","Feeling sad/low/depression %","----","----","0.642"
"68","~~~None/Mild","68.4 %","71.74 %","--"
"69","~~~Moderate or worse","31.6 %","28.26 %","--"
"70","Worry or anxiety %","----","----","0.044"
"71","~~~None/Mild","55.44 %","70.88 %","--"
"72","~~~Moderate or worse","44.56 %","29.12 %","--"
"73","Cataracts- New Sample (Chronic Conditions) %","----","----","0.947"
"74","~~~No","72.22 %","71.77 %","--"
"75","~~~Yes","27.78 %","28.23 %","--"
"76","Money to meed needs %","----","----","0.17"
"77","~~~Completely","6.51 %","12.38 %","--"
"78","~~~Mostly","13.15 %","17.08 %","--"
"79","~~~Moderately","37.72 %","37.68 %","--"
"80","~~~A little","34.43 %","19.05 %","--"
"81","~~~None at all","8.19 %","13.82 %","--"
