"","Name","Nonadhering","Adhering","Pvalue"
"1","Age Group %","----","----","0.317"
"2","~~~<50","13.2 %","8.02 %","--"
"3","~~~>=50","86.8 %","91.98 %","--"
"4","Sex of the respondent %","----","----","0.706"
"5","~~~Male","57.85 %","61.89 %","--"
"6","~~~Female","42.15 %","38.11 %","--"
"7","5 quantiles of wealthscore %","----","----","0.903"
"8","~~~1","18.58 %","14.82 %","--"
"9","~~~2","14.06 %","14.21 %","--"
"10","~~~3","18.56 %","24.62 %","--"
"11","~~~4","19.53 %","18.56 %","--"
"12","~~~5","29.27 %","27.8 %","--"
"13","Place of residence %","----","----","0.493"
"14","~~~Urban","27.62 %","23.36 %","--"
"15","~~~Rural","72.38 %","76.64 %","--"
"16","Region %","----","----","0.189"
"17","~~~ASSAM","4.84 %","8.89 %","--"
"18","~~~KARNATAKA","8.49 %","8.31 %","--"
"19","~~~MAHARASHTRA","11.92 %","17.83 %","--"
"20","~~~RAJASTHAN","23.54 %","12.39 %","--"
"21","~~~UTTAR PRADESH","9.75 %","5.95 %","--"
"22","~~~WEST BENGAL","41.46 %","46.63 %","--"
"23","Current Marital Status %","----","----","0.133"
"24","~~~Currently Married","80.82 %","71.45 %","--"
"25","~~~Not Currently Married","19.18 %","28.55 %","--"
"26","Religion %","----","----","0.278"
"27","~~~Hinduism","85.89 %","83.07 %","--"
"28","~~~Islam","9.34 %","15.29 %","--"
"29","~~~Other / None","4.77 %","1.63 %","--"
"30","Ethnic Group %","----","----","0.793"
"31","~~~Schedule Tribe","6.99 %","6.87 %","--"
"32","~~~Schedule Caste","18.97 %","14.89 %","--"
"33","~~~Others","74.04 %","78.24 %","--"
"34","Ever smoked %","----","----","0.025"
"35","~~~No","52.56 %","69.38 %","--"
"36","~~~Yes","47.44 %","30.62 %","--"
"37","Consumed alcohol last 30 days %","----","----","0.322"
"38","~~~Yes","22.42 %","43.05 %","--"
"39","~~~No","77.58 %","56.95 %","--"
"40","Rate your health %","----","----","0.16"
"41","~~~Poor","66.26 %","77.12 %","--"
"42","~~~Good","33.74 %","22.88 %","--"
"43","Difficulty in cognition with concentrating/remembering things %","----","----","0.794"
"44","~~~Moderate or worse","45.41 %","48.19 %","--"
"45","~~~None/Mild","54.59 %","51.81 %","--"
"46","Difficulty in moving around %","----","----","0.119"
"47","~~~Moderate or worse","49.95 %","62.81 %","--"
"48","~~~None/Mild","50.05 %","37.19 %","--"
"49","Community Support %","----","----","0.274"
"50","~~~Yes","73.32 %","54.16 %","--"
"51","~~~No","26.68 %","45.84 %","--"
"52","Currently working %","----","----","0.226"
"53","~~~Yes","54.51 %","39.06 %","--"
"54","~~~No","45.49 %","60.94 %","--"
"55","Health care provider %","----","----","0.343"
"56","~~~Private","65 %","69.23 %","--"
"57","~~~Public","25.37 %","26.61 %","--"
"58","~~~Community","9.62 %","2.99 %","--"
"59","~~~Other","0 %","1.18 %","--"
"60","Ever Been to School %","----","----","0.616"
"61","~~~Yes","70.48 %","73.86 %","--"
"62","~~~No","29.52 %","26.14 %","--"
"63","Level of Education %","----","----","0.393"
"64","~~~Less than primary school/don't know","29.35 %","26.83 %","--"
"65","~~~Secondary school and below","33.36 %","44.4 %","--"
"66","~~~Past secondary school","37.29 %","28.77 %","--"
"67","Feeling sad/low/depression %","----","----","0.071"
"68","~~~None/Mild","69.6 %","56.38 %","--"
"69","~~~Moderate or worse","30.4 %","43.62 %","--"
"70","Worry or anxiety %","----","----","0.017"
"71","~~~None/Mild","58.44 %","41.06 %","--"
"72","~~~Moderate or worse","41.56 %","58.94 %","--"
"73","Cataracts- New Sample (Chronic Conditions) %","----","----","0.045"
"74","~~~No","70.95 %","57.76 %","--"
"75","~~~Yes","29.05 %","42.24 %","--"
"76","Money to meed needs %","----","----","0.756"
"77","~~~Completely","9.17 %","8.96 %","--"
"78","~~~Mostly","19.5 %","14.58 %","--"
"79","~~~Moderately","31.62 %","38.85 %","--"
"80","~~~A little","28.58 %","30.82 %","--"
"81","~~~None at all","11.13 %","6.79 %","--"
