"","Name","Nonadhering","Adhering","Pvalue"
"1","Age in Years [mean (SD)]","63 (11)","64 (8.8)","0.838"
"2","Age Group %","----","----","<0.001"
"3","~~~<50","9.78 %","2.59 %","--"
"4","~~~>=50","90.22 %","97.41 %","--"
"5","Sex of the respondent %","----","----","0.209"
"6","~~~Male","48.89 %","54.19 %","--"
"7","~~~Female","51.11 %","45.81 %","--"
"8","5 quantiles of wealthscore %","----","----","0.337"
"9","~~~1","13.83 %","8.92 %","--"
"10","~~~2","13.95 %","13.14 %","--"
"11","~~~3","14.87 %","17.2 %","--"
"12","~~~4","17.69 %","20.49 %","--"
"13","~~~5","39.66 %","40.24 %","--"
"14","Place of residence %","----","----","0.455"
"15","~~~Urban","36.84 %","41.04 %","--"
"16","~~~Rural","63.16 %","58.96 %","--"
"17","Region %","----","----","<0.001"
"18","~~~ASSAM","11.05 %","2 %","--"
"19","~~~KARNATAKA","10.76 %","21.09 %","--"
"20","~~~MAHARASHTRA","18.05 %","18.9 %","--"
"21","~~~RAJASTHAN","18.94 %","14.2 %","--"
"22","~~~UTTAR PRADESH","20.39 %","13.2 %","--"
"23","~~~WEST BENGAL","20.82 %","30.61 %","--"
"24","Current Marital Status %","----","----","0.69"
"25","~~~Currently Married","74.06 %","75.55 %","--"
"26","~~~Not Currently Married","25.94 %","24.45 %","--"
"27","Religion %","----","----","0.198"
"28","~~~Hinduism","79.11 %","83.75 %","--"
"29","~~~Islam","15.2 %","14.18 %","--"
"30","~~~Other / None","5.68 %","2.07 %","--"
"31","Ethnic Group %","----","----","0.162"
"32","~~~Schedule Tribe","4.51 %","3.81 %","--"
"33","~~~Schedule Caste","15.74 %","9.84 %","--"
"34","~~~Others","79.75 %","86.35 %","--"
"35","Ever smoked %","----","----","0.91"
"36","~~~No","66.18 %","66.63 %","--"
"37","~~~Yes","33.82 %","33.37 %","--"
"38","Consumed alcohol last 30 days %","----","----","0.988"
"39","~~~Yes","44.09 %","43.88 %","--"
"40","~~~No","55.91 %","56.12 %","--"
"41","Rate your health %","----","----","0.736"
"42","~~~Poor","73.23 %","74.6 %","--"
"43","~~~Good","26.77 %","25.4 %","--"
"44","Difficulty in cognition with concentrating/remembering things %","----","----","0.111"
"45","~~~Moderate or worse","43.38 %","35.9 %","--"
"46","~~~None/Mild","56.62 %","64.1 %","--"
"47","Difficulty in moving around %","----","----","0.678"
"48","~~~Moderate or worse","47.78 %","49.53 %","--"
"49","~~~None/Mild","52.22 %","50.47 %","--"
"50","Community Support %","----","----","0.578"
"51","~~~Yes","48.97 %","55.19 %","--"
"52","~~~No","51.03 %","44.81 %","--"
"53","Currently working %","----","----","0.06"
"54","~~~Yes","48.55 %","36.49 %","--"
"55","~~~No","51.45 %","63.51 %","--"
"56","Health care provider %","----","----","0.273"
"57","~~~Private","70.41 %","76.21 %","--"
"58","~~~Public","23.07 %","20.17 %","--"
"59","~~~Community","4.79 %","3.35 %","--"
"60","~~~Other","1.73 %","0.27 %","--"
"61","Ever Been to School %","----","----","0.709"
"62","~~~Yes","68.43 %","70 %","--"
"63","~~~No","31.57 %","30 %","--"
"64","Level of Education %","----","----","0.212"
"65","~~~Less than primary school/don't know","23.23 %","25.01 %","--"
"66","~~~Secondary school and below","42.94 %","35.17 %","--"
"67","~~~Past secondary school","33.83 %","39.81 %","--"
"68","Feeling sad/low/depression %","----","----","0.206"
"69","~~~None/Mild","69.67 %","74.6 %","--"
"70","~~~Moderate or worse","30.33 %","25.4 %","--"
"71","Worry or anxiety %","----","----","0.317"
"72","~~~None/Mild","56.74 %","61.63 %","--"
"73","~~~Moderate or worse","43.26 %","38.37 %","--"
"74","Cataracts- New Sample (Chronic Conditions) %","----","----","0.904"
"75","~~~No","66.81 %","67.41 %","--"
"76","~~~Yes","33.19 %","32.59 %","--"
"77","Money to meed needs %","----","----","0.945"
"78","~~~Completely","10.18 %","10.51 %","--"
"79","~~~Mostly","19.08 %","17.12 %","--"
"80","~~~Moderately","41.61 %","44.17 %","--"
"81","~~~A little","23.46 %","21.67 %","--"
"82","~~~None at all","5.67 %","6.53 %","--"
