"","Name","Nonadhering","Adhering","Pvalue"
"1","Age in Years [mean (SD)]","58 (14)","61 (12)","<0.001"
"2","Age Group %","----","----","<0.001"
"3","~~~<50","20.49 %","12.58 %","--"
"4","~~~>=50","79.51 %","87.42 %","--"
"5","Sex of the respondent %","----","----","0.477"
"6","~~~Male","43.87 %","45.7 %","--"
"7","~~~Female","56.13 %","54.3 %","--"
"8","5 quantiles of wealthscore %","----","----","0.003"
"9","~~~1","19.72 %","13.4 %","--"
"10","~~~2","19.57 %","14.12 %","--"
"11","~~~3","16.21 %","19.33 %","--"
"12","~~~4","23.7 %","22.03 %","--"
"13","~~~5","20.79 %","31.11 %","--"
"14","Place of residence %","----","----","<0.001"
"15","~~~Urban","21.47 %","36.09 %","--"
"16","~~~Rural","78.53 %","63.91 %","--"
"17","Region %","----","----","<0.001"
"18","~~~ASSAM","12.09 %","4.64 %","--"
"19","~~~KARNATAKA","8.24 %","16.4 %","--"
"20","~~~MAHARASHTRA","19.87 %","17.41 %","--"
"21","~~~RAJASTHAN","20.36 %","11.48 %","--"
"22","~~~UTTAR PRADESH","22.27 %","23.83 %","--"
"23","~~~WEST BENGAL","17.18 %","26.24 %","--"
"24","Current Marital Status %","----","----","0.432"
"25","~~~Currently Married","74.34 %","75.95 %","--"
"26","~~~Not Currently Married","25.66 %","24.05 %","--"
"27","Religion %","----","----","0.683"
"28","~~~Hinduism","84.12 %","84.61 %","--"
"29","~~~Islam","11.69 %","12.06 %","--"
"30","~~~Other / None","4.19 %","3.33 %","--"
"31","Ethnic Group %","----","----","0.003"
"32","~~~Schedule Tribe","7.36 %","4.14 %","--"
"33","~~~Schedule Caste","16.81 %","13.18 %","--"
"34","~~~Others","75.83 %","82.68 %","--"
"35","Ever smoked %","----","----","0.013"
"36","~~~No","60.27 %","69.35 %","--"
"37","~~~Yes","39.73 %","30.65 %","--"
"38","Consumed alcohol last 30 days %","----","----","0.162"
"39","~~~Yes","54.43 %","45.04 %","--"
"40","~~~No","45.57 %","54.96 %","--"
"41","Rate your health %","----","----","0.263"
"42","~~~Poor","66.08 %","69.34 %","--"
"43","~~~Good","33.92 %","30.66 %","--"
"44","Difficulty in cognition with concentrating/remembering things %","----","----","0.196"
"45","~~~Moderate or worse","35.62 %","32.05 %","--"
"46","~~~None/Mild","64.38 %","67.95 %","--"
"47","Difficulty in moving around %","----","----","0.68"
"48","~~~Moderate or worse","38.08 %","36.81 %","--"
"49","~~~None/Mild","61.92 %","63.19 %","--"
"50","Community Support %","----","----","0.049"
"51","~~~Yes","31.93 %","45.62 %","--"
"52","~~~No","68.07 %","54.38 %","--"
"53","Currently working %","----","----","0.004"
"54","~~~Yes","66.81 %","54.64 %","--"
"55","~~~No","33.19 %","45.36 %","--"
"56","Health care provider %","----","----","0.093"
"57","~~~Private","63.98 %","67.63 %","--"
"58","~~~Public","28.39 %","23.42 %","--"
"59","~~~Community","3.4 %","5.83 %","--"
"60","~~~Other","4.23 %","3.12 %","--"
"61","Ever Been to School %","----","----","<0.001"
"62","~~~Yes","53.12 %","65.3 %","--"
"63","~~~No","46.88 %","34.7 %","--"
"64","Level of Education %","----","----","0.232"
"65","~~~Less than primary school/don't know","23.11 %","23.36 %","--"
"66","~~~Secondary school and below","51.89 %","45.74 %","--"
"67","~~~Past secondary school","25 %","30.9 %","--"
"68","Feeling sad/low/depression %","----","----","0.045"
"69","~~~None/Mild","70.14 %","75.41 %","--"
"70","~~~Moderate or worse","29.86 %","24.59 %","--"
"71","Worry or anxiety %","----","----","0.01"
"72","~~~None/Mild","57.19 %","65.28 %","--"
"73","~~~Moderate or worse","42.81 %","34.72 %","--"
"74","Cataracts- New Sample (Chronic Conditions) %","----","----","0.175"
"75","~~~No","81.29 %","77.62 %","--"
"76","~~~Yes","18.71 %","22.38 %","--"
"77","Money to meed needs %","----","----","0.407"
"78","~~~Completely","7.56 %","9.27 %","--"
"79","~~~Mostly","13.7 %","17.74 %","--"
"80","~~~Moderately","47.78 %","44.17 %","--"
"81","~~~A little","22.6 %","21.87 %","--"
"82","~~~None at all","8.36 %","6.95 %","--"
