"","Name","Nonadhering","Adhering","Pvalue"
"1","Self reported prevalence of stroke %","----","----","<0.001"
"2","~~~Yes","8.26 %","4.89 %","--"
"3","~~~No","91.74 %","95.11 %","--"
"4","Angina (Self repoted prevalence of angina) %","----","----","0.015"
"5","~~~Yes","13 %","8.86 %","--"
"6","~~~No","87 %","91.14 %","--"
"7","Diabetes-New Sample (Chronic Conditions) %","----","----","0.987"
"8","~~~Yes","28.68 %","28.72 %","--"
"9","~~~No","71.32 %","71.28 %","--"
"10","Self reported prevalence of chronic lung diseases %","----","----","<0.001"
"11","~~~Yes","8.55 %","3.7 %","--"
"12","~~~No","91.45 %","96.3 %","--"
"13","Asthama(Self reported prevalence of asthama) %","----","----","0.036"
"14","~~~Yes","16.18 %","12.81 %","--"
"15","~~~No","83.82 %","87.19 %","--"
"16","Self reported prevalence of depression %","----","----","<0.001"
"17","~~~No","89.24 %","96.21 %","--"
"18","~~~Yes","10.76 %","3.79 %","--"
"19","Self reported prevalence of hypertension %","----","----","0.567"
"20","~~~Yes","62.6 %","61.06 %","--"
"21","~~~No","37.4 %","38.94 %","--"
